iter	Passed	Remaining
596	1794	1211
597	1797	1208
598	1800	1205
599	1803	1202
600	1805	1198
601	1808	1195
602	1811	1192
603	1814	1189
604	1817	1186
605	1820	1183
606	1823	1180
607	1825	1177
608	1828	1174
609	1831	1171
610	1834	1168
611	1837	1164
612	1841	1162
613	1843	1159
614	1847	1156
615	1850	1153
616	1852	1150
617	1855	1147
618	1858	1144
619	1861	1141
620	1864	1137
621	1867	1134
622	1870	1131
623	1873	1128
624	1876	1125
625	1879	1122
626	1881	1119
627	1884	1116
628	1888	1113
629	1891	1110
630	1893	1107
631	1896	1104
632	1899	1101
633	1902	1098
634	1905	1095
635	1908	1092
636	1911	1089
637	1913	1085
638	1917	1083
639	1920	1080
640	1922	1076
641	1925	1073
642	1928	1070
643	1931	1067
644	1934	1064
645	1937	1061
646	1939	1058
647	1942	1055
648	1945	1052
649	1948	1049
650	1951	1046
651	1954	1043
652	1957	1040
653	1960	1036
654	1962	1033
655	1965	1030
656	1968	1027
657	1971	1024
658	1973	1021
659	1976	1018
660	1979	1015
661	1982	1012
662	1985	1008
663	1987	1005
664	1990	1002
665	1993	999
666	1996	996
667	1999	993
668	2001	990
669	2004	987
670	2007	984
671	2010	981
672	2013	978
673	2015	975
674	2018	971
675	2021	968
676	2024	966
677	2027	962
678	2030	959
679	2033	956
680	2035	953
681	2039	950
682	2041	947
683	2045	944
684	2047	941
685	2050	938
686	2053	935
687	2056	932
688	2059	929
689	2062	926
690	2065	923
691	2067	920
692	2070	917
693	2073	914
694	2076	911
695	2079	908
696	2081	905
697	2084	902
698	2087	898
699	2090	895
700	2093	892
701	2095	889
702	2098	886
703	2101	883
704	2104	880
705	2107	877
706	2110	874
707	2113	871
708	2115	868
709	2118	865
710	2121	862
711	2124	859
712	2127	856
713	2130	853
714	2133	850
715	2136	847
716	2138	844
717	2141	841
718	2144	838
719	2147	835
720	2150	832
721	2152	828
722	2155	825
723	2158	822
724	2161	819
725	2164	816
726	2167	813
727	2170	810
728	2173	807
729	2175	804
730	2178	801
731	2181	798
732	2184	795
733	2187	792
734	2190	789
735	2192	786
736	2195	783
737	2198	780
738	2201	777
739	2204	774
740	2207	771
741	2209	768
742	2212	765
743	2215	762
744	2218	759
745	2221	756
746	2223	753
747	2226	750
748	2229	747
749	2232	744
750	2235	741
751	2238	738
752	2241	735
753	2244	732
754	2247	729
755	2250	726
756	2253	723
757	2256	720
758	2258	717
759	2261	714
760	2264	711
761	2267	708
762	2270	705
763	2272	702
764	2275	699
765	2278	696
766	2281	693
767	2284	690
768	2287	687
769	2289	684
770	2292	681
771	2296	678
772	2299	675
773	2302	672
774	2304	669
775	2307	666
776	2310	663
777	2313	660
778	2316	657
779	2319	654
780	2322	651
781	2324	648
782	2327	645
783	2330	642
784	2333	639
785	2336	636
786	2339	633
787	2342	630
788	2345	627
789	2347	624
790	2350	621
791	2353	618
792	2356	615
793	2359	612
794	2362	609
795	2365	606
796	2367	603
797	2370	600
798	2374	597
799	2377	594
800	2380	591
801	2383	588
802	2386	585
803	2389	582
804	2393	579
805	2396	576
806	2399	573
807	2402	570
808	2405	567
809	2408	564
810	2411	561
811	2414	558
812	2417	555
813	2419	552
814	2422	549
815	2425	547
816	2428	544
817	2432	541
818	2435	538
819	2438	535
820	2440	532
821	2444	529
822	2447	526
823	2450	523
824	2453	520
825	2456	517
826	2459	514
827	2462	511
828	2465	508
829	2468	505
830	2471	502
831	2474	499
832	2476	496
833	2479	493
834	2482	490
835	2485	487
836	2488	484
837	2490	481
838	2493	478
839	2496	475
840	2499	472
841	2502	469
842	2505	466
843	2508	463
844	2511	460
845	2514	457
846	2517	454
847	2520	451
848	2523	448
849	2525	445
850	2528	442
851	2531	439
852	2534	436
853	2537	433
854	2539	430
855	2542	427
856	2545	424
857	2548	421
858	2551	418
859	2553	415
860	2556	412
861	2559	409
862	2562	406
863	2565	403
864	2568	400
865	2570	397
866	2573	394
867	2576	391
868	2579	388
869	2582	385
870	2585	382
871	2588	379
872	2591	376
873	2594	373
874	2597	371
875	2599	368
876	2602	365
877	2605	362
878	2608	359
879	2611	356
880	2614	353
881	2616	350
882	2619	347
883	2622	344
884	2625	341
885	2628	338
886	2631	335
887	2634	332
888	2637	329
889	2640	326
890	2643	323
891	2646	320
892	2649	317
893	2652	314
894	2655	311
895	2658	308
896	2661	305
897	2664	302
898	2667	299
899	2670	296
900	2672	293
901	2675	290
902	2678	287
903	2681	284
904	2684	281
905	2687	278
906	2690	275
907	2692	272
908	2695	269
909	2698	266
910	2701	263
911	2704	260
912	2707	257
913	2710	255
914	2713	252
915	2715	249
916	2718	246
917	2721	243
918	2724	240
919	2727	237
920	2730	234
921	2732	231
922	2735	228
923	2738	225
924	2740	222
925	2743	219
926	2746	216
927	2749	213
928	2752	210
929	2755	207
930	2758	204
931	2760	201
932	2764	198
933	2766	195
934	2769	192
935	2772	189
936	2775	186
937	2778	183
938	2781	180
939	2784	177
940	2786	174
941	2789	171
942	2792	168
943	2795	165
944	2798	162
945	2801	159
946	2808	157
947	2812	154
948	2815	151
949	2818	148
950	2820	145
951	2823	142
952	2826	139
953	2830	136
954	2832	133
955	2835	130
956	2838	127
957	2841	124
958	2844	121
959	2848	118
960	2850	115
961	2853	112
962	2856	109
963	2859	106
964	2862	103
965	2865	100
966	2868	97
967	2871	94
968	2873	91
969	2876	88
970	2879	86
971	2882	83
972	2885	80
973	2888	77
974	2890	74
975	2893	71
976	2896	68
977	2899	65
978	2901	62
979	2904	59
980	2907	56
981	2910	53
982	2913	50
983	2916	47
984	2918	44
985	2921	41
986	2924	38
987	2927	35
988	2929	32
989	2932	29
990	2935	26
991	2938	23
992	2941	20
993	2943	17
994	2946	14
995	2949	11
996	2952	8
997	2955	5
998	2958	2
999	2960	0
